No._Incidente,Fecha,Hora,Localidad,Latitud,Longitud,Tipo_Incidente,Diferencia_Tiempo,Risk_Category,Model_Confidence,Confidence_Band,Risk_Score_Raw,ML_Prob_High,Rule_Label,weapons_score,physical_violence_score,severe_violence_score,threats_score,injuries_score,vulnerable_victims_score,urgency_score,location_risk_score,substance_abuse_score,N_s,neg_direct,neg_absence,neg_contextual,neg_uncertainty,negation_present,vaw_indicator,n_categories_active,text_length,Comentarios
SUR-02183825-21,2021-10-10,10:43:43,SAN CRISTOBAL,0.0,0.0,934,00:00:17,High Risk,0.2244,low,9.1,0.2244,High Risk,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,89,VECINOS EN RIÑA AL PARECER EL HOMBRE LE ESTA PEGANDO A LA MUJER SE ESCUCHAN NIÑOS GRITAR
SUR-00371929-23,2023-03-04,16:21:27,ENGATIVA,4.7076499,-74.13104708,934,00:00:26,Moderate Risk,0.8516,high,7.46,0.1484,Moderate Risk,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,1.0,0,1,157,SUJS QUE LLEGAN EN VH BLANCO ESTAN TOMADOS COLOCAN MUSICA ALTA Y AGRESIVOS // CUANDO SE LES PIDE EL FAVOR HACEN CASO OMISO NO ARMAS NO HERIDOS
SUR-00913541-23,2023-05-25,02:28:41,SANTA FE,4.58926033,-74.06991727,934,00:00:10,High Risk,0.0189,low,6.46,0.0189,High Risk,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,1.0,0,2,214,SU HERMANO ROMPIO LOS VIDRIO DE LA CASA SE ESTA INTENTANDO ENTRAR SU CASA // ESTA MUY AGRESIVO NO ARMAS NO HERIDOS // SOLICITA AYUDA INMEDIATA DE POLICIA INFORMA QUE HA LLMADO Y NO LLEGA AYUDA DE POLICIA AL SITIO
SUR-01449850-22,2022-08-07,09:56:05,RAFAEL URIBE,4.57831391,-74.1143975,611,00:01:58,High Risk,1.0,high,9.1,1.0,High Risk,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,173,INFORMA QUE FRENTE A LA CASA HAY UNA MUJER QUE GOLPEA A LAS HIJAS MENORES DE EDAD UNA DE 10 AÑOS Y LA OTRA DE 7 AÑOS DISPO TRAFALLIDA:1 DISPO TRAFALLIDA:1 DISPO TRAFALLIDA:1
SUR-00561391-23,2023-04-02,12:49:21,USME,4.50930472,-74.1147535,934,00:00:13,Moderate Risk,1.0,high,3.46,0.0,Moderate Risk,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,1.0,1,1,85,RIÑA FAMILIAR NO ARMAS NO HERIDOS LA SEÑORA ES MUY AGRESIVA CON EL MARIDO
SUR-00765268-22,2022-04-29,23:34:39,,0.0,0.0,934,00:00:33,Moderate Risk,1.0,high,2.95,0.0,Moderate Risk,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.75,0.9,0.85,0.0,0.0,1.0,0,1,301,PADRE DE HIJO DE LLAMANTE AGRESIVO // SE DESCONOCE PRESENCIA DE ARMAS O HERIDOS DISPO SININFO:LLAMANTE ABANDONA LLAMADA // SE REALIZA RELLAMADA POR DIRECCION NO VALIDA CONTESTA PERO NO HABLA DISPO SININFO:LLAMANTE ABANDONA LLAMADA // SE REALIZA RELLAMADA POR DIRECCION NO VALIDA CONTESTA PERO NO HABLA
SUR-02158538-22,2022-11-20,20:40:41,SAN CRISTOBAL,4.56233694,-74.09022154,934,00:00:09,Moderate Risk,1.0,high,3.46,0.0,Moderate Risk,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,1.0,0,1,34,VIVIENDA // NO ARMAS // NO HERIDOS
SUR-00462518-23,2023-03-18,22:21:36,SAN CRISTOBAL,4.53713622,-74.08467308,934,00:00:18,Low Risk,0.9154,high,3.0,0.0,Low Risk,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,36,SUJETO AGREDE A MUJER EN VIA PUBLICA
SUR-00097229-22,2022-01-17,20:16:07,BOSA,4.6260174,-74.19787293,934,00:00:09,Moderate Risk,1.0,high,3.46,0.0,Moderate Risk,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,1.0,0,1,55,DENTRO DEL PREDIO//PAPA AGRESIVO//NO ARMAS//NO HERIDO//
SUR-01487339-22,2022-08-13,11:41:33,TEUSAQUILLO,4.63448986,-74.09690718,934,00:00:06,Moderate Risk,1.0,high,2.95,0.0,Moderate Risk,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.75,0.9,0.85,0.0,0.0,1.0,0,1,97,RIÑA INTRAFAMILIAR // DENTRO DE LA VIVIENDA [BARRIO]/// NO REPORTA ARMAS O HERIDOS
SUR-00776903-23,2023-05-05,19:29:55,CIUDAD BOLIVAR,4.59451975,-74.1703729,934,00:00:23,Moderate Risk,0.966,high,5.85,0.0044,Moderate Risk,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.25,0.9,0.85,0.0,0.5,1.0,0,2,174,"TIENE MEDIDA DE PROTECCION EN CONTRA DEL PAPA DEL HIJO, LA ESTA AGREDIENDO VERBALMENTE , NO LE QUIERE ENTREGAR AL HIJO,,// NO SABE DE ARMAS // ES MILITAR , LA ESTA AMENAZANDO"
SUR-02340691-21,2021-11-02,08:56:02,USME,4.50909188,-74.1012006,934,00:00:14,Low Risk,1.0,high,0.0,0.0,Low Risk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,94,"INDICA QUE HAY UNA RIÑA INTRAFAMILIAR CONTRA UNA MUJER Y SU HIJA, EL SJ ES BASTANTE AGRESIVO."
SUR-00851220-23,2023-05-15,17:21:00,CIUDAD BOLIVAR,4.55418979,-74.14328257,934,,Moderate Risk,1.0,high,2.95,0.0,Moderate Risk,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.75,0.9,0.85,0.0,0.0,1.0,0,1,142,INFO DE SJ LE ESTA ENTRO A LA CASA LE ESTA FOMENTANDO RIÑA [BARRIO] CARNES NO INFO DE ARMAS O HERIDOS SIN MAS DATOS
SUR-01733617-21,2021-08-08,22:35:05,USAQUEN,4.77614374,-74.04103263,934,,High Risk,0.9969,high,20.02,0.9969,High Risk,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,108,REPORTA HIJA LA SACA A GOLPES DE LA CASA ADEMAS AGREDE A MENOR DE 14 AÑOS CON PALO // ESTA ROMPIENDO OBJETOS
SUR-02198765-22,2022-11-27,00:52:29,SUBA,4.74575036,-74.12599693,934,00:00:11,High Risk,0.1315,low,13.85,0.1315,High Risk,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.25,0.9,0.85,0.0,0.5,1.0,1,2,134,< ENTRE PAREJA DENTRO DEL APARTAMENTO HAY UNA MENOR Y UN BEBE //NO SABE DE ARMAS NI HERIDOS SOLO ESCUCHA GOLPES Y GRITAN >
SUR-01663669-23,2023-09-17,03:25:34,BOSA,0.0,0.0,934,00:00:18,Low Risk,0.9968,high,3.0,0.0,Low Risk,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,53,SUJETO SE ENCUENTRA AGRESIVO QUIERE GOLPEAR LA PAREJA
SUR-02392584-22,2022-12-23,23:32:09,CIUDAD BOLIVAR,0.0,0.0,934,00:00:20,Moderate Risk,1.0,high,3.46,0.0,Moderate Risk,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,1.0,0,1,53,LLAMANTE INF RIÑA INTRAFAMILIAR//NO ARMAS//NO HERIDOS
SUR-00352362-22,2022-02-27,19:59:12,SUBA,4.74616795,-74.07216456,934,00:00:07,Low Risk,1.0,high,0.0,0.0,Low Risk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,43,RIÑA DENTRO DE VIVIENDA ENTRE DOS PERSONAS.
SUR-00620526-22,2022-04-08,11:00:16,RAFAEL URIBE,4.56961112,-74.12077179,611,00:00:57,Moderate Risk,0.9809,high,3.46,0.0191,Moderate Risk,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,1.0,0,1,182,"INFORMA MENOR DE EDAD SOLA EN LA VIVIENDA DESDE ANOCHE, LLORA Y DICE QUE TIENE HAMBRE /NUMERO ADICIONAL DE CONTACTO NO TIENE. [BARRIO] JORGE. DISPO TRAFALLIDA:1 DISPO TRAFALLIDA:1"
SUR-01443073-23,2023-08-15,19:34:22,ENGATIVA,4.68377955,-74.09928458,611,00:00:58,Low Risk,1.0,high,0.0,0.0,Low Risk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,125,"[BARRIO] QUE SUS SOBRINOS DE 8, 5 Y 3 AÑOS SON DEJADOS SOLOS POR LA PROGENITORA DISPO TRAFALLIDA:9"
SUR-00678187-23,2023-04-20,23:13:57,PUENTE ARANDA,4.61939835,-74.1234397,934,00:00:13,High Risk,0.9996,high,12.0,0.9996,High Risk,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,86,"INFORMA QUE TIENE RIÑA CON LA PAREJA, EL SJ TIENE ARMA BLANCA, HAY MENORES EN EL LUGAR"
SUR-00925601-23,2023-05-27,02:24:38,BOSA,4.60530041,-74.19215391,934,00:00:20,Low Risk,1.0,high,2.46,0.0,Low Risk,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,1.0,1,1,32,PAREJA LA AGREDE NO MAS DATOS
SUR-01851683-23,2023-10-15,01:23:32,USME,0.0,0.0,934,00:00:09,Moderate Risk,1.0,high,3.46,0.0,Moderate Risk,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,1.0,1,1,196,BRR REUGIO // EN LA INVASION // USME // ARRIBA DEL MATADEROD E PUERTA AL LLANO // PAREJA NBO SE QUIERE //AGRESIVO //NO INDICA ARMAS NI HERIDOS // DISPO INFOADICIO:SE ENVIA CON PUNTOS DE REFERENCIA
SUR-01544834-22,2022-08-21,17:29:49,USME,4.50522536,-74.11513874,934,00:00:10,Moderate Risk,1.0,high,2.95,0.0,Moderate Risk,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.75,0.9,0.85,0.0,0.0,1.0,0,1,108,LLAMANTE REPORTA QUE EL PROGENITOR ESTA AGRESIVO Y BAJO LOS EFECTOS DEL LICOR /// NO REPORTA ARMAS O HERIDOS
SUR-00741631-23,2023-04-30,04:05:31,SAN CRISTOBAL,4.5650818,-74.0918064,934,00:00:08,Moderate Risk,0.956,high,3.46,0.0039,Moderate Risk,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,1.0,0,1,107,PELEA DENTRO DEL INMUEBLE // UNOS NIÑOS GRITANDO PIDIENDO AYUDA // NO DA MAS INFO EL SEÑOR SE ENCUENTRA 926
SUR-00566939-23,2023-04-03,12:18:07,KENNEDY,4.61040279,-74.17283272,934,00:00:10,High Risk,0.2859,low,7.752,0.2859,Moderate Risk,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,1.0,1,2,79,EXPAREJA DE LA USUARIA LA GOLPEO SE LE QUIERE LLEVAR EL NI;O NO ARMAS NO HERIDO
SUR-00563362-22,2022-03-31,16:29:45,SUBA,4.74128763,-74.10394884,934,00:00:21,High Risk,0.9996,high,9.1,0.9996,High Risk,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,120,SUJETO AGREDE LA MUJER Y ELLA ESTA CON EL MENOR // ESTAN EN EL JARDIN Y EL SUJETO ESPERA Y LAS SIGUE PARA AGREDIRLES ///
SUR-01995620-22,2022-10-28,20:20:13,KENNEDY,4.6224343,-74.17142406,934,00:00:08,High Risk,1.0,high,29.333,1.0,High Risk,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,1.0,1,4,155,"INDICA QUE LA PAREJA LE ESTA PEGANDO, LA ESTA AMENAZANDO CON ARMA BLANCA, INDICA QUE LA ESTA AMENAZANDO DE MERTE, NO HERIDOS, CEL DE CONTACTO: 302 [NUMERO_SENSIBLE]"
SUR-00011270-22,2022-01-01,22:19:03,ANTONIO NARINO,4.59406324,-74.11509455,934,00:00:19,Moderate Risk,1.0,high,3.46,0.0,Moderate Risk,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,1.0,1,1,75,"RIÑA EN LA VIVIENDA , MUJER AGRESIVA CON HIJO , NO ARMAS , NO HERIDOS //"
SUR-01626781-23,2023-09-11,18:40:18,SAN CRISTOBAL,4.53425352,-74.09230941,934,00:00:10,High Risk,0.342,low,8.25,0.342,High Risk,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.25,0.9,0.85,0.0,0.5,1.0,1,2,84,SUJETO AGRESIVO CON MUJER NO LE DEJA LLEVAR A SU BEBE // NO SABE DE ARMAS O HERIDOS
SUR-00487688-22,2022-03-20,07:30:20,RAFAEL URIBE,4.57863042,-74.10446556,934,00:00:12,Moderate Risk,0.9878,high,4.0,0.0122,Moderate Risk,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,116,VIVIENDA PRIMER PISO // SUJETO AGRESIVO BAJO LOS EFECTOS DEL ALCOHOL // DOS MENORES PRESENTES Y SE LOS QUIERE LLEVAR
SUR-01728977-21,2021-08-08,07:41:05,BOSA,4.60930224,-74.19890887,934,00:00:08,Moderate Risk,0.9968,high,7.46,0.0032,Moderate Risk,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,1.0,0,2,114,"MASCULINO EN ESTADO DE EMBRIAGUEZ USANDO BOTELLAS COMO ARMAS, ESTA AGRESIVO, NO HERIDOS, MENORES DE EDAD PRESENTES"
SUR-01556072-21,2021-07-15,13:27:17,BOSA,4.64367313,-74.18760689,611,00:04:28,High Risk,0.9287,high,21.112,0.9287,High Risk,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.6,0.9,0.0,0.7,0.0,1.0,1,2,534,"MALTRATO A UN BEBE /FUERON A GOLPEAR A LA CASA /Y LE CALLARON LA BOCA POR PARTE DE UNA SEÑORA /TODAS LAS NOCHES OCURRE LO MISMO LLAMANTE LE PREOCUPA QUE EL NIÑO YA NO LLORA NI SE SIENTE BOSA PORVENIR DISPO TRAFALLIDA:2 DISPO TRAFALLIDA:2 DISPO INFOADICIO:AL MOMENTO DE TRANSFERIR VOZ A CRUE ,CONTESTAN ´PERO SE CAE LA LLAMADA /SE REPORTA A JOHAN EN SUPERVISION DISPO INFOADICIO:AL MOMENTO DE TRANSFERIR VOZ A CRUE ,CONTESTAN ´PERO SE CAE LA LLAMADA /SE REPORTA A JOHAN EN SUPERVISION"
SUR-01463334-23,2023-08-18,21:08:56,USME,4.53968977,-74.11377248,934,00:00:09,Moderate Risk,0.9429,high,7.46,0.0571,Moderate Risk,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,1.0,1,2,173,LLAMANTE INFORMA QUE RIÑA ENTRE HOMBRE Y MUJER // LA MUJER SE DESQUITA CON LOS HIJOS E HIJASTROS QUE SON 7 MENORES DE EDAD // NO ARMAS NO HERIDOS // TEL CONTACTO [NUMERO_SENSIBLE]
SUR-02736568-21,2021-12-25,11:09:31,CIUDAD BOLIVAR,4.5350441,-74.14288571,934,00:00:12,High Risk,0.9822,high,11.82,0.9822,High Risk,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.25,0.9,0.85,0.0,0.5,1.0,1,3,146,"REPORTA RIÑA INTRAFAMILIAR// EL PRIMO EN ESTADO 926, ESTA GOLPEANDO A LA MUJER// ESTAN ENCERRADOS// CUCHILLOS DE LA COCINA // NO SABE DE HERIDOS//"
SUR-00542934-22,2022-03-28,08:58:37,RAFAEL URIBE,4.54654163,-74.10609734,934,00:00:11,Moderate Risk,0.8492,high,6.65,0.1508,Moderate Risk,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.25,0.9,0.85,0.0,0.5,1.0,1,2,126,NO SABE SI ESTAN ARMADOS O SI HAY HERIDOS // SOLO SE ESCUCHA A MUJER QUE GRITA PIDIENDO AYUDA // MENOR DE EDAD EN EL LUGAR //
